taxonomy_id,rab.all,rab.win.Omni,rab.win.Vegan,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH,name
39488,12.207693944236087,8.366487713720131,12.892855529624757,4.52689309511116,3.3818639033682114,1.5596592376929306,3.6539984880401186e-4,0.05485378608054823,1,0,0,Anaerobutyricum hallii
105843,4.29004376431773,-7.351794785672501,6.8567273545546215,14.043494525350322,4.49929163451344,3.0068172797886623,3.6539984880401186e-4,0.04268421113935103,1,0,0,Anaerobutyricum soehngenii
1680,12.448421845921676,11.66484938028667,14.439436261643145,2.975971040022653,2.096710300014985,1.6385563366586118,3.6539984880401186e-4,0.057020050459776817,1,0,0,Bifidobacterium adolescentis
1686,7.868279488127963,6.059966227891995,8.11423309423925,2.0493282762794243,0.9084248689833894,1.7633674058252717,3.6539984880401186e-4,0.06596547267218442,1,0,0,Bifidobacterium catenulatum
2860051,11.378636493918512,9.469993495956315,12.254411840973338,2.9200018596833006,3.2568958622699764,1.4381997029230038,3.6539984880401186e-4,0.23965549166890415,1,0,0,Blautia sp. KLE_1732_HM_1032
29360,3.1518210288276816,0.015120042527422939,3.442288172823699,3.486925557959605,1.6866623441049153,2.029209936545561,3.6539984880401186e-4,0.0643215860890713,1,0,0,Cellulosilyticum lentocellum
410072,11.775613602824054,8.837683205157834,12.729977483886902,3.90457379423275,1.432268583134463,1.6369999175608823,3.6539984880401186e-4,0.10359896370319809,1,0,0,Coprococcus comes
859144,2.4851296026694794,-0.1341358915421953,3.132054084620078,3.1923589494591535,0.7524727729952296,4.138088489312944,3.6539984880401186e-4,0.04213447538044308,0.98915839422029594,0,0,Cytobacillus gottheilii
41170,2.076553111610602,0.8549501771723094,3.3193884025487215,2.2685911007506103,1.2138875652712784,1.4838692182857725,3.6539984880401186e-4,0.11980777404860982,1,0,0,Exiguobacterium acetylicum
143361,2.70002764909753,2.479252520129032,3.4837450611194534,2.0683052070788577,1.8980499451787454,0.982513290356906,3.6539984880401186e-4,0.1855243538893945,1,0,0,Filifactor alocis
587,3.164109997569372,2.7365391225958886,3.751584434477209,1.3466904822640071,1.0986376733015426,1.204241060017652,3.6539984880401186e-4,0.22302545868391313,1,0,0,Providencia rettgeri
301302,13.07211463696412,10.279172537862866,14.077678197770606,3.7886729234370264,2.47058618661608,1.5510555709816138,3.6539984880401186e-4,0.07919123307144296,1,0,0,Roseburia faecis
1160721,10.44847806870053,7.073007360577319,11.649224912408,4.583878149613699,0.7498200251174936,4.1950137019787705,3.6539984880401186e-4,0.024872393514693635,1,0,0,Ruminococcus bicirculans (ex Wegman et al. 2014)
40519,9.743002244312454,6.67386057894247,10.085448610852163,3.4243292708618487,2.066041590119169,1.738721859294626,3.6539984880401186e-4,0.05985876061430037,1,0,0,Ruminococcus callidus
2878202,7.2188032503884685,-1.5380622993339585,7.627605860291856,11.698849947330922,7.470265684341203,1.2607676144692503,3.6539984880401186e-4,0.13121728140310587,1,0,0,Ruminococcus sp. FMB-CY1
2831966,5.9212536166331855,-1.5259131605120544,11.58342694868739,12.634043893838644,6.1352227951473415,1.9153535004492692,3.6539984880401186e-4,0.06208964839680713,1,0,0,Ruminococcus sp. FMBCY1
2763672,12.225914607353598,11.85799045300423,12.512822866824532,0.755342885945856,0.2087170143295305,3.224867018309227,3.6539984880401186e-4,0.19993229590463302,1,0,0,Simiaoa sunii
3413147,3.3552625722632774,-0.5004737757377118,4.763896864238225,5.227927070776788,1.9280721559021003,2.7919083798955184,3.6539984880401186e-4,0.0216555512599821,1,0,0,Streptococcus sp. KHUD_013
3414505,2.9370797060541864,-6.846968681640149,4.240740927445948,10.857406080517496,4.554380368007013,2.120145564121687,3.6539984880401186e-4,0.06751555573744855,0.9972750861839812,0,0,Tepidimonas sp. HKU79
38986,2.1678460194936484,-0.8622177566523579,2.6071684827885644,3.3610703576427685,1.2356950224891232,2.8611258108329105,3.6539984880401186e-4,0.05982163154265453,1,7.812500000000007e-4,0.0078125,Acholeplasma palmae
1479,2.553089095705541,1.346902634258731,2.961981888914792,1.5836637616395723,1.097188296833651,1.2966357554961898,0.005233195823184881,0.18514292550415445,1,0.0031249999999999993,0.0078125,Bacillus smithii
2589818,1.4471552350618655,-0.9972991881829554,2.0297000503277616,2.916562257877885,1.7665766618807694,1.7503315208802266,0.005233195823184881,0.09053549315401307,1,0.0015624999999999997,0.0078125,Bacillus sp. Cs-700
1465,2.940774849706459,1.435522986065271,3.380565710329492,1.9092825979899795,0.9060852444420346,1.877944452427668,0.005233195823184881,0.12521206312633482,1,0.0015624999999999997,0.0078125,Brevibacillus laterosporus
29552,1.9024117998684993,-0.505383047670902,2.3679050162965574,2.9704000103101134,1.7242768410534683,1.5973596300019077,0.005233195823184881,0.08660444243002491,1,7.812500000000007e-4,0.0078125,Haploplasma axanthum
2567941,1.7333583425346362,0.06182739386314928,2.3201614168265348,2.1419498902166687,1.4111970042319122,1.4692392020637572,3.6539984880401186e-4,0.12964614054054624,1,0.0015624999999999997,0.0078125,Metabacillus sediminilitoris
3016087,1.9873745021322922,-1.4437690816100766,2.4497346905966797,3.9484506100617374,4.829263442491422,1.2991258220753017,0.005233195823184881,0.21072312778788393,1,7.812500000000007e-4,0.0078125,Micromonospora sp. WMMD975
228574,1.847874153136928,-1.5138231359530945,2.874650881891993,4.566045155286046,4.318213005324909,1.2907670317532105,0.005233195823184881,0.1742174204194458,1,7.812500000000007e-4,0.0078125,Paenibacillus lactis
1156431,2.55210395633085,0.4791469322436317,5.536478063765018,5.095377838116379,2.822638220274383,1.8128371485835133,3.6539984880401186e-4,0.05294494217806401,1,7.812500000000007e-4,0.0078125,Streptococcus ilei
150055,1.48923708887542,-1.3539372110296775,3.088631701667527,3.539460331456546,1.5698172797347425,2.4033786920696825,0.005260450607949098,0.04424560031902271,1,7.812500000000007e-4,0.0078125,Streptococcus lutetiensis
2954545,2.863065993893642,-1.484248749672366,3.3965093080395796,9.262402077319079,7.21799409860296,1.4102416700252611,0.005233195823184881,0.08486717322078476,1,7.812500000000007e-4,0.0078125,Streptococcus sp. FSL W7-1342
403957,1.9202167650830368,-0.9306736963432609,2.3604345414128787,3.289125734711398,1.6676664824643872,2.1930661754155,0.005233195823184881,0.07353821357300633,1,7.812500000000007e-4,0.0078125,Virgibacillus sp. SK37
1648,1.986389143939114,-0.42303787974658213,2.731816559370973,2.93150542251189,2.075081734203718,1.4589758941219015,0.005260450607949098,0.10919136137702434,1,0.0015625000000000014,0.015625,Erysipelothrix rhusiopathiae
249188,2.220035884041698,-1.788840747766118,2.534711721566042,4.630868297373777,1.6282470311891402,2.9981435384782396,0.005233195823184881,0.02673579704288564,1,0.0023437500000000003,0.015625,Haemophilus pittmaniae
285983,1.47959856841676,-0.3095685879632448,3.0985688611174513,3.5958637232705435,2.1783278813939946,1.8166140186188429,0.005260450607949098,0.06900051035736653,1,0.0015625000000000014,0.015625,Mesobacillus subterraneus
1482,2.0289240707840825,-0.42999408249254856,3.091170834893065,3.7186924009816096,1.4708498482250594,2.490587926049311,3.6539984880401186e-4,0.04326580888414226,1,0.0015625000000000014,0.015625,Virgibacillus halodenitrificans
86663,1.7452503790124414,-1.1926228888059676,2.2675044543657368,3.384243457117721,1.3514388421760444,2.5239197296553244,0.005260450607949098,0.05606999683847715,1,0.007812499999999998,0.0234375,Bacillus carboniphilus
2875540,1.3258735021880614,-1.1967939472223303,1.8537364317235934,2.9042396783306987,1.4581588688520437,1.9090928237290998,0.005233195823184881,0.08267326976729408,1,0.00546875,0.0234375,Ferruginibacter albus
3117747,2.1055358184387156,-6.838442266029624,2.4545996797921905,9.224745610542668,3.6855711091539636,2.318638239336805,0.005233195823184881,0.08584464255183918,1,0.00546875,0.0234375,Metabacillus rhizosphaerae
253703,1.6983894704913656,-0.36447458988462067,2.6963746105394257,2.908474714975121,0.8654230635779339,3.2567606622411773,0.010389148200048819,0.042769291542384305,1,0.00546875,0.0234375,Paenibacillus antarcticus
2048654,1.396644378870299,-0.4080334064701212,1.8438793920058192,2.399639327173304,0.7009915357335323,3.5402357150754593,0.005260450607949098,0.05950195107111694,1,0.00546875,0.0234375,Solibacillus sp. R5-41
1387557,1.5034421866380594,-0.7082284644480055,1.9001066701631402,2.5892306933123006,1.6053733577406,1.5342663600749227,0.010389148200048819,0.11072238093266848,1,0.006249999999999999,0.03125,Anaerocellum danielii
3036300,1.814380158306518,-0.41868572499909895,2.5420597877774114,3.1518179603040863,1.6105900863065497,2.246494511624017,0.005260450607949098,0.04794889712553123,1,0.0031250000000000028,0.03125,Anaerococcus sp. Marseille-Q7828
3459196,1.0329593511179933,0.001929104012555527,1.514975749914825,1.5249060241679722,0.5680839539302394,2.740095840659495,0.0155616731380917,0.12201332232967191,0.9938615421167294,0.008593749999999999,0.03125,Kushneria sp. Sum13
1588,1.3651751273693762,-0.8860359317836561,2.1972354176597744,2.829407916631279,1.2084799401098003,2.295285087952447,0.005260450607949098,0.06875078244451771,1,0.005468750000000001,0.03125,Lentilactobacillus hilgardii
